LSOA_CODE,LSOA_NAME,MSOA_CODE,MSOA_NAME,STWARDCODE,STWARDNAME,LA_CODE,LA_NAME
E01000001,City of London 001A,E02000001,City of London 001,00AAFA,Aldersgate,00AA,City of London
E01000002,City of London 001B,E02000001,City of London 001,00AAFQ,Cripplegate,00AA,City of London
E01000003,City of London 001C,E02000001,City of London 001,00AAFQ,Cripplegate,00AA,City of London
E01000004,City of London 001D,E02000001,City of London 001,00AAFT,Farringdon Without,00AA,City of London
E01000005,City of London 001E,E02000001,City of London 001,00AAFX,Portsoken,00AA,City of London
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,00ABFX,Abbey,00AB,Barking and Dagenham
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,00ABFX,Abbey,00AB,Barking and Dagenham
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,00ABFX,Abbey,00AB,Barking and Dagenham
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,00ABFX,Abbey,00AB,Barking and Dagenham
E01000010,Barking and Dagenham 015C,E02000016,Barking and Dagenham 015,00ABFX,Abbey,00AB,Barking and Dagenham
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,00ABFX,Abbey,00AB,Barking and Dagenham
E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,00ABFX,Abbey,00AB,Barking and Dagenham
E01000013,Barking and Dagenham 013A,E02000014,Barking and Dagenham 013,00ABFY,Alibon,00AB,Barking and Dagenham
E01000014,Barking and Dagenham 013B,E02000014,Barking and Dagenham 013,00ABFY,Alibon,00AB,Barking and Dagenham
E01000015,Barking and Dagenham 009A,E02000010,Barking and Dagenham 009,00ABFY,Alibon,00AB,Barking and Dagenham
E01000016,Barking and Dagenham 009B,E02000010,Barking and Dagenham 009,00ABFY,Alibon,00AB,Barking and Dagenham
E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,00ABFY,Alibon,00AB,Barking and Dagenham
E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,00ABFY,Alibon,00AB,Barking and Dagenham
E01000019,Barking and Dagenham 005A,E02000006,Barking and Dagenham 005,00ABFZ,Becontree,00AB,Barking and Dagenham
E01000020,Barking and Dagenham 005B,E02000006,Barking and Dagenham 005,00ABFZ,Becontree,00AB,Barking and Dagenham
E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,00ABFZ,Becontree,00AB,Barking and Dagenham
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,00ABFZ,Becontree,00AB,Barking and Dagenham
E01000023,Barking and Dagenham 008C,E02000009,Barking and Dagenham 008,00ABFZ,Becontree,00AB,Barking and Dagenham
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,00ABFZ,Becontree,00AB,Barking and Dagenham
E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,00ABFZ,Becontree,00AB,Barking and Dagenham
E01000026,Barking and Dagenham 005C,E02000006,Barking and Dagenham 005,00ABFZ,Becontree,00AB,Barking and Dagenham
E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,00ABGA,Chadwell Heath,00AB,Barking and Dagenham
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,00ABGA,Chadwell Heath,00AB,Barking and Dagenham
E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,00ABGA,Chadwell Heath,00AB,Barking and Dagenham
E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,00ABGA,Chadwell Heath,00AB,Barking and Dagenham
E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,00ABGA,Chadwell Heath,00AB,Barking and Dagenham
E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,00ABGA,Chadwell Heath,00AB,Barking and Dagenham
E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,00ABGB,Eastbrook,00AB,Barking and Dagenham
E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,00ABGB,Eastbrook,00AB,Barking and Dagenham
E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,00ABGB,Eastbrook,00AB,Barking and Dagenham
E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,00ABGB,Eastbrook,00AB,Barking and Dagenham
E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,00ABGB,Eastbrook,00AB,Barking and Dagenham
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,00ABGB,Eastbrook,00AB,Barking and Dagenham
E01000039,Barking and Dagenham 003D,E02000004,Barking and Dagenham 003,00ABGB,Eastbrook,00AB,Barking and Dagenham
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,00ABGC,Eastbury,00AB,Barking and Dagenham
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,00ABGC,Eastbury,00AB,Barking and Dagenham
E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,00ABGC,Eastbury,00AB,Barking and Dagenham
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,00ABGC,Eastbury,00AB,Barking and Dagenham
E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,00ABGC,Eastbury,00AB,Barking and Dagenham
E01000045,Barking and Dagenham 017C,E02000018,Barking and Dagenham 017,00ABGC,Eastbury,00AB,Barking and Dagenham
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,00ABGC,Eastbury,00AB,Barking and Dagenham
E01000047,Barking and Dagenham 021A,E02000022,Barking and Dagenham 021,00ABGD,Gascoigne,00AB,Barking and Dagenham
E01000048,Barking and Dagenham 021B,E02000022,Barking and Dagenham 021,00ABGD,Gascoigne,00AB,Barking and Dagenham
E01000049,Barking and Dagenham 021C,E02000022,Barking and Dagenham 021,00ABGD,Gascoigne,00AB,Barking and Dagenham
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,00ABGD,Gascoigne,00AB,Barking and Dagenham
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,00ABGD,Gascoigne,00AB,Barking and Dagenham
E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,00ABGD,Gascoigne,00AB,Barking and Dagenham
E01000053,Barking and Dagenham 020A,E02000021,Barking and Dagenham 020,00ABGE,Goresbrook,00AB,Barking and Dagenham
E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,00ABGE,Goresbrook,00AB,Barking and Dagenham
E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,00ABGE,Goresbrook,00AB,Barking and Dagenham
E01000056,Barking and Dagenham 018C,E02000019,Barking and Dagenham 018,00ABGE,Goresbrook,00AB,Barking and Dagenham
E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,00ABGE,Goresbrook,00AB,Barking and Dagenham
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,00ABGE,Goresbrook,00AB,Barking and Dagenham
E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,00ABGE,Goresbrook,00AB,Barking and Dagenham
E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,00ABGF,Heath,00AB,Barking and Dagenham
E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,00ABGF,Heath,00AB,Barking and Dagenham
E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,00ABGF,Heath,00AB,Barking and Dagenham
E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,00ABGF,Heath,00AB,Barking and Dagenham
E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,00ABGF,Heath,00AB,Barking and Dagenham
E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,00ABGF,Heath,00AB,Barking and Dagenham
E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,00ABGG,Longbridge,00AB,Barking and Dagenham
E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,00ABGG,Longbridge,00AB,Barking and Dagenham
E01000068,Barking and Dagenham 016E,E02000017,Barking and Dagenham 016,00ABGG,Longbridge,00AB,Barking and Dagenham
