service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0,0,0,0,0,0,0,1,20200302,20201127
1,0,0,0,0,0,1,0,20200302,20201127
10,0,0,0,0,0,0,1,20200531,20200531
100,1,1,1,1,0,0,0,20200518,20201127
1000,1,1,1,1,1,1,0,20200302,20200516
10000,0,1,1,1,1,0,1,20200302,20201127
10001,0,0,0,1,0,0,0,20200302,20201127
10002,1,1,1,1,0,0,0,20200302,20201127
10003,0,0,0,0,0,1,0,20200302,20201127
10004,0,0,0,0,1,0,0,20200302,20201127
10005,1,1,1,1,1,0,0,20200302,20201127
10006,1,1,1,1,1,0,0,20200302,20201127
10007,0,1,1,1,1,1,1,20200302,20201127
10008,0,0,0,0,0,0,1,20200302,20201127
10009,1,1,1,1,1,0,0,20200302,20200720
1001,1,1,1,1,1,0,0,20200302,20200515
10010,0,0,0,0,1,0,0,20200302,20201127
10011,1,1,1,1,0,0,0,20200302,20201127
10012,0,1,1,1,1,0,0,20200302,20201127
10013,1,1,1,1,1,0,0,20200622,20201127
10014,0,0,1,0,0,0,0,20200302,20201127
10015,1,1,0,1,1,0,0,20200302,20201127
10016,0,0,0,0,1,0,0,20200302,20201127
10017,1,1,1,1,1,1,0,20200302,20201127
10018,0,1,1,1,1,1,1,20200302,20201127
10019,1,0,0,0,0,0,0,20200302,20201127
1002,0,0,0,0,0,0,1,20200517,20201127
10020,0,1,1,1,1,0,0,20200302,20201127
10021,0,0,0,0,0,0,1,20200315,20201127
10022,1,1,1,1,1,0,0,20200302,20201127
10023,1,1,1,1,1,0,0,20200302,20201127
10024,1,1,1,1,1,0,0,20200302,20201127
10025,1,1,1,1,1,0,0,20200302,20201127
10026,1,1,1,1,1,0,0,20200302,20201127
10027,1,1,1,1,1,0,0,20200302,20201127
10028,1,1,1,1,1,0,0,20200302,20201127
10029,1,1,1,1,1,0,0,20200302,20201127
1003,1,1,1,1,1,1,0,20200302,20201127
10030,1,1,1,1,1,0,0,20200302,20201127
10031,0,0,1,0,0,0,0,20200318,20200715
10032,1,1,0,1,1,0,0,20200316,20200720
