stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
490000050D,,Clapham Common (Stop D),,51.4615210,-0.1384880,,,0,,Europe/London,1
490000050E,,Clapham Common (Stop E),,51.4614070,-0.1387370,,,0,,Europe/London,1
490000050G,,Clapham Common (Stop G),,51.4611970,-0.1386590,,,0,,Europe/London,1
490000050K,,Clapham Common (Stop K),,51.4615250,-0.1381860,,,0,,Europe/London,1
490000051B,,Clapham North & High Street Stations (Stop L),,51.4641150,-0.1319620,,,0,,Europe/London,1
490000051C,,Clapham Road  Bedford Road (Stop C),,51.4658620,-0.1293850,,,0,,Europe/London,1
490000051D,,Clapham North (Stop D),,51.4646800,-0.1291600,,,0,,Europe/London,1
490000051F,,Clapham North (Stop F),,51.4650080,-0.1298950,,,0,,Europe/London,1
490000051G,,Clapham North & High Street Stations (Stop G),,51.4649660,-0.1300980,,,0,,Europe/London,1
490000051N1,,Clapham North,,51.4646490,-0.1295640,,,0,,Europe/London,1
490000064A,,Earl's Court Station (Stop A),,51.4919970,-0.1925500,,,0,,Europe/London,1
490000064C,,Earl's Court Station (Stop C),,51.4905930,-0.1965530,,,0,,Europe/London,1
490000064N,,Earl's Court Station,,51.4910430,-0.1972550,,,0,,Europe/London,1
490000069EA,,East Putney (Stop EA),,51.4600260,-0.2122970,,,0,,Europe/London,1
490000069EB,,East Putney (Stop EB),,51.4590450,-0.2099310,,,0,,Europe/London,1
490000084L,,Fulham Broadway Station (Stop L),,51.4802890,-0.1944530,,,0,,Europe/London,1
490000084M,,Fulham Broadway Station (Stop M),,51.4800220,-0.1946800,,,0,,Europe/London,1
490000086A,,Gloucester Road (Stop GR),,51.4942590,-0.1825490,,,0,,Europe/London,1
490000086B,,Gloucester Road (Stop GS),,51.4940950,-0.1822250,,,0,,Europe/London,1
490000110A,,High Street Kensington (Stop A),,51.5009840,-0.1933910,,,0,,Europe/London,1
490000110B,,High Street Kensington (Stop B),,51.5007170,-0.1942220,,,0,,Europe/London,1
490000110E,,High Street Kensington (Stop E),,51.5013240,-0.1922100,,,0,,Europe/London,1
490000110F,,High Street Kensington (Stop F),,51.5013500,-0.1919780,,,0,,Europe/London,1
490000110R,,High Street Kensington (Stop R),,51.5009540,-0.1931040,,,0,,Europe/London,1
490000119A,,Grosvenor Place  Hyde Park Corner (Stop 12),,51.5008770,-0.1502710,,,0,,Europe/London,1
490000119F,,Hyde Park Corner (Stop F),,51.5020900,-0.1506540,,,0,,Europe/London,1
490000119K,,Hyde Park Corner (Stop K),,51.5013470,-0.1510150,,,0,,Europe/London,1
490000119L,,Hyde Park Corner (Stop 13),,51.5027850,-0.1531040,,,0,,Europe/London,1
490000119M,,Hyde Park Corner (Stop M),,51.5027500,-0.1532490,,,0,,Europe/London,1
490000119N,,Hyde Park Corner (Stop N),,51.5027080,-0.1534240,,,0,,Europe/London,1
490000119P,,Hyde Park Corner (Stop P),,51.5026050,-0.1537310,,,0,,Europe/London,1
490000119R,,Hyde Park Corner (Stop R),,51.5028920,-0.1541230,,,0,,Europe/London,1
490000119S,,Hyde Park Corner (Stop S),,51.5029680,-0.1538890,,,0,,Europe/London,1
490000119T,,Hyde Park Corner (Stop T),,51.5030250,-0.1534830,,,0,,Europe/London,1
490000119W,,Hyde Park Corner (Stop W),,51.5030440,-0.1531370,,,0,,Europe/London,1
490000130K1,,Knightsbridge Station (Stop KJ),,51.5009000,-0.1601830,,,0,,Europe/London,1
490000130K2,,Sloane Street  Knightsbridge Station (Stop KK),,51.5005570,-0.1598770,,,0,,Europe/London,1
490000130KC,,Knightsbridge Station  Harrods (Stop KC),,51.5003590,-0.1623660,,,0,,Europe/London,1
490000130KD,,Knightsbridge Station (Stop KD),,51.5007360,-0.1623070,,,0,,Europe/London,1
490000130KE,,Knightsbridge Station  Harrods (Stop KE),,51.5016290,-0.1618820,,,0,,Europe/London,1
490000172C,,Oval (Stop C),,51.4823950,-0.1127220,,,0,,Europe/London,1
490000172D,,Oval (Stop D),,51.4821240,-0.1126620,,,0,,Europe/London,1
490000180A,,Pimlico (Stop A),,51.4899830,-0.1323890,,,0,,Europe/London,1
490000180D,,Pimlico (Stop D),,51.4903910,-0.1330490,,,0,,Europe/London,1
490000180H,,Pimlico (Stop H),,51.4891430,-0.1333160,,,0,,Europe/London,1
490000180J,,Pimlico (Stop J),,51.4889560,-0.1332950,,,0,,Europe/London,1
490000184Y,,Putney Bridge (Stop FB),,51.4681660,-0.2089990,,,0,,Europe/London,1
490000184Z,,Putney Bridge (Stop FC),,51.4679180,-0.2092820,,,0,,Europe/London,1
490000206D,,Sloane Square (Stop D),,51.4932630,-0.1560680,,,0,,Europe/London,1
490000206E,,Cadogan Gardens Sloane Square (Stop E),,51.4920230,-0.1589840,,,0,,Europe/London,1
490000206H,,Sloane Square (Stop H),,51.4922600,-0.1570160,,,0,,Europe/London,1
490000206K,,Sloane Square (Stop K),,51.4914510,-0.1574660,,,0,,Europe/London,1
490000206M,,Sloane Square Station  Lower Sloane Street (Stop M),,51.4916650,-0.1572990,,,0,,Europe/London,1
490000206N,,Sloane Square (Stop B),,51.4926680,-0.1583970,,,0,,Europe/London,1
490000212A,,Pelham Street (Stop A),,51.4936710,-0.1713790,,,0,,Europe/London,1
490000212E,,South Kensington (Stop E),,51.4944650,-0.1747910,,,0,,Europe/London,1
490000212E1,,South Kensington (Stop D),,51.4941670,-0.1754360,,,0,,Europe/London,1
490000212S,,South Kensington (Stop S),,51.4945070,-0.1745580,,,0,,Europe/London,1
490000212S1,,South Kensington (Stop T),,51.4944230,-0.1745620,,,0,,Europe/London,1
490000223A,,South Lambeth Road  Stockwell Station (Stop A),,51.4736750,-0.1224990,,,0,,Europe/London,1
490000223B,,South Lambeth Road  Stockwell Station (Stop B),,51.4738810,-0.1223610,,,0,,Europe/London,1
490000223F,,Clapham Road  Stockwell Station (Stop F),,51.4719390,-0.1230310,,,0,,Europe/London,1
490000223G,,Stockwell Station (Stop G),,51.4716990,-0.1232720,,,0,,Europe/London,1
490000223M,,Clapham Road  Stockwell Station (Stop M),,51.4718090,-0.1229220,,,0,,Europe/London,1
490000223R,,Stockwell Gardens (Stop R),,51.4716420,-0.1218050,,,0,,Europe/London,1
490000248G,,Victoria (Stop G),,51.4965360,-0.1434590,,,0,,Europe/London,1
490000248H,,Victoria (Stop J),,51.4956630,-0.1430050,,,0,,Europe/London,1
490000248J,,Victoria (Stop Z1),,51.4948310,-0.1425630,,,0,,Europe/London,1
490000248N2,,Victoria Stn  Grosvenor Gdns (Stop S),,51.4964450,-0.1451050,,,0,,Europe/London,1
490000248S,,Victoria (Stop U),,51.4960020,-0.1422420,,,0,,Europe/London,1
490000248S2,,Victoria (Stop Z12),,51.4947780,-0.1460660,,,0,,Europe/London,1
490000248UA,,Victoria (Stop 11),,51.4952700,-0.1459740,,,0,,Europe/London,1
490000248YZ,,Victoria,,51.4962200,-0.1435010,,,0,,Europe/London,1
490000248Z,,Victoria,,51.4960860,-0.1445870,,,0,,Europe/London,1
490000248ZZ,,Victoria (Stop H),,51.4958460,-0.1432130,,,0,,Europe/London,1
490000260O,,West Brompton Station (Stop O),,51.4877930,-0.1946320,,,0,,Europe/London,1
490000260P,,West Brompton Station (Stop P),,51.4875370,-0.1956360,,,0,,Europe/London,1
490000265A,,West Kensington (Stop S),,51.4905660,-0.2066090,,,0,,Europe/London,1
490000265B,,West Kensington (Stop T),,51.4899180,-0.2064610,,,0,,Europe/London,1
490000284FQ,,Lambrook Terrace (Stop FQ),,51.4760480,-0.2152710,,,0,,Europe/London,1
490000286Z,,Nelson's Row (Stop B),,51.4626240,-0.1356210,,,0,,Europe/London,1
490000288Z,,Omnibus Clapham,,51.4636150,-0.1419440,,,0,,Europe/London,1
490000450Z,,Stockwell Station  Clapham Road,,51.4714660,-0.1232090,,,0,,Europe/London,1
490000807Z,,St John Bosco College,,51.4750250,-0.1721390,,,0,,Europe/London,1
490001016A,,Battersea Park Station (Stop A),,51.4771040,-0.1471430,,,0,,Europe/London,1
490001016B,,Battersea Park Station (Stop B),,51.4767800,-0.1471130,,,0,,Europe/London,1
490001016C,,Battersea Park Station (Stop C),,51.4769100,-0.1482590,,,0,,Europe/London,1
490001016D,,Battersea Park Station (Stop D),,51.4769480,-0.1484310,,,0,,Europe/London,1
490001069C,,Clapham Junction Station (Stop C),,51.4630130,-0.1704590,,,0,,Europe/London,1
490001069D,,Clapham Junction Station (Stop D),,51.4636190,-0.1683910,,,0,,Europe/London,1
490001069M,,Clapham Junction Station (Stop M),,51.4632610,-0.1685200,,,0,,Europe/London,1
490001231B,,Putney (Stop B),,51.4614720,-0.2171210,,,0,,Europe/London,1
490001231D,,Putney (Stop D),,51.4612920,-0.2165660,,,0,,Europe/London,1
490001231E,,Putney (Stop E),,51.4611430,-0.2166010,,,0,,Europe/London,1
490001231F,,Putney (Stop F),,51.4606090,-0.2153260,,,0,,Europe/London,1
490001231G,,Putney (Stop G),,51.4605830,-0.2164360,,,0,,Europe/London,1
490001231H,,Putney (Stop H),,51.4601900,-0.2172140,,,0,,Europe/London,1
490001231N,,St John's Avenue (Stop C),,51.4600030,-0.2174950,,,0,,Europe/London,1
